id,park,category,area_m2,penb_class,pne_kwh_m2,pne_year
B01,,Sklad & logistika,125389,C,162.2,2024
B02,,Výroba,9783,,112.1,2024
B03,,Výroba,22725,,455.1,2023
B04,,Výroba,17014,,451.3,2023
B05,,Výroba,5711,,54.4,2023
B06,,Výroba,25549,,404.5,2023
B07,,Výroba,14833,C,239.4,2024
B08,,Sklad & logistika,8335,C,88.6,2024
B09,,Sklad & logistika,17594,B,49.9,2024
B10,,Sklad & logistika,102419,C,89.3,2024
B11,,Sklad & logistika,11148,,85.9,2024
B12,,Sklad & logistika,7483,,41.4,2024
B13,,Sklad & logistika,3522,,55.8,2024
B14,,Sklad & logistika,24686,,59.8,2024
B15,,Výroba,8188,,32.2,2024
B16,Panattoni Park Cheb,Sklad & logistika,34830,,30.1,2024
B17,,Sklad & logistika,34788,,48.0,2023
B18,,Sklad & logistika,16755,,58.2,2023
B19,,Sklad & logistika,18033,,36.9,2023
B20,Panattoni Park Prestice,Výroba,14015,A,434.6,2024
B21,Panattoni Park Cheb South - Real Digital,Sklad & logistika,27326,A,40.0,2024
B22,,Sklad & logistika,21350,,86.3,2023
B23,,Sklad & logistika,11830,,31.3,2023
B24,,Sklad & logistika,9520,,13.6,2023
B25,,Výroba,12408,,130.8,2023
B26,Panattoni Park Cheb,Sklad & výroba,12897,A,59.6,2024
B27,Panattoni Park Stribro,Výroba,16225,A,183.0,2023
B28,,Sklad & logistika,186903,B,49.1,2024
B29,Panattoni Park Teplice South,Sklad & logistika,9220,C,301.2,2024
B30,Panattoni Park Teplice South,Sklad & logistika,14546,C,216.4,2024
B31,Panattoni Park Teplice South,Sklad & logistika,2385,C,364.5,2024
B32,Panattoni Park Teplice South,Výroba,6332,C,298.7,2024
B33,,Sklad & logistika,13361,,53.8,2024
B34,Panattoni Park Cheb South,Sklad & logistika,43066,B,41.5,2024
B35,Panattoni Park Cheb South,Sklad & logistika,5357,A,595.2,2024
B36,Panattoni Park Ostrov North,Sklad & výroba,20232,C,89.3,2024
B37,Panattoni Park Cheb East,Sklad & logistika,60905,B,24.1,2024
B38,,Sklad & logistika,6872,,582.3,2024
B39,Panattoni Park Kladno South,Výroba,36849,A,360.8,2024
B40,Panattoni Park Zdice,Sklad & logistika,12259,,11.4,2024
B41,Panattoni Park Chomutov North,Výroba,14964,B,478.7,2024
B42,Panattoni Park Týniště nad Orlicí,Sklad & logistika,16644,C,18.8,2024
B43,Panattoni Park Týniště nad Orlicí,Sklad & logistika,9861,C,16.3,2024
B44,Panattoni Park Pilsen West II,Výroba,25135,B,53.9,2024
B45,Panattoni Park Pilsen West II,Výroba,36463,B,229.3,2024
B46,Panattoni Park Prague Airport II,Sklad & logistika,24776,C,40.3,2024
B47,Panattoni Park Prague Airport II,Sklad & logistika,21171,,26.3,2024
B48,Panattoni Park Prague Airport II,Sklad & logistika,24657,,17.8,2024
B49,Panattoni Park Prague Airport II,Sklad & výroba,6775,,32.7,2024
B50,Panattoni Park Prague Airport II,Sklad & logistika,1641,,37.8,2024
B51,Panattoni Park Prague Airport II,Sklad & logistika,23026,,88.3,2024
